row_type,model,arm,feature,metric,first_window,n_runs,alternative,n_authors,estimate,ci_low,ci_high,wilcoxon_p,window_index
position,human,human_interior,f3,target_rank,,52,,19,2.7719298245614032,1.6140350877192984,4.403947368421051,,5
position,human,human_start,f1,target_hit,,55,,19,0.5263157894736842,0.3859649122807017,0.6666666666666666,,1
position,human,human_start,f1,target_kl,,55,,19,0.046282138751414265,0.03105333387110928,0.06412684783410909,,1
position,human,human_start,f1,target_margin,,55,,19,-0.011892094018515393,-0.030474832417341235,0.0030106664103326307,,1
position,human,human_start,f1,target_rank,,55,,19,3.333333333333333,1.9649122807017545,5.10548245614035,,1
position,human,human_start,f1,target_hit,,55,,19,0.6491228070175439,0.47368421052631576,0.8070175438596491,,2
position,human,human_start,f1,target_kl,,55,,19,0.033758242477654535,0.022276190716693896,0.04822797914392141,,2
position,human,human_start,f1,target_margin,,55,,19,-0.004099012429936491,-0.019826060911920334,0.008680268196279805,,2
position,human,human_start,f1,target_rank,,55,,19,2.7280701754385968,1.6491228070175439,4.132456140350873,,2
position,human,human_start,f1,target_hit,,55,,19,0.5263157894736841,0.3508771929824562,0.6842105263157894,,3
position,human,human_start,f1,target_kl,,55,,19,0.04750900512515608,0.028605047575267193,0.07368498252900667,,3
position,human,human_start,f1,target_margin,,55,,19,-0.019094736154036326,-0.044755005693725966,0.00024058009118306607,,3
position,human,human_start,f1,target_rank,,55,,19,3.4561403508771926,2.0526315789473686,5.316228070175436,,3
position,human,human_start,f1,target_hit,,55,,19,0.47368421052631576,0.31578947368421045,0.631578947368421,,4
position,human,human_start,f1,target_kl,,55,,19,0.03992825015649768,0.02403846562206868,0.06093818683809194,,4
position,human,human_start,f1,target_margin,,55,,19,-0.013057001788390463,-0.033994903904794586,0.004459995404400164,,4
position,human,human_start,f1,target_rank,,55,,19,3.2105263157894735,1.9995614035087723,4.807017543859649,,4
position,human,human_start,f1,target_hit,,55,,19,0.5438596491228069,0.38596491228070173,0.7017543859649122,,5
position,human,human_start,f1,target_kl,,55,,19,0.04996554367394554,0.02806312286316547,0.07633812628649884,,5
position,human,human_start,f1,target_margin,,55,,19,-0.016011363859927172,-0.03971264194875391,0.0035952367501348036,,5
position,human,human_start,f1,target_rank,,55,,19,3.5438596491228074,2.105263157894737,5.385964912280701,,5
position,human,human_start,f3,target_hit,,55,,19,0.5789473684210527,0.4385964912280701,0.7192982456140351,,1
position,human,human_start,f3,target_kl,,55,,19,0.10747803507818551,0.07926545052194317,0.14059864619469956,,1
position,human,human_start,f3,target_margin,,55,,19,-0.007720222526842143,-0.038178865271100655,0.017879423172859867,,1
position,human,human_start,f3,target_rank,,55,,19,3.1052631578947363,1.736842105263158,4.859649122807017,,1
position,human,human_start,f3,target_hit,,55,,19,0.6666666666666666,0.4912280701754386,0.8245614035087718,,2
position,human,human_start,f3,target_kl,,55,,19,0.08545622533612209,0.06251501203895331,0.1149196968022059,,2
position,human,human_start,f3,target_margin,,55,,19,0.005519644497577541,-0.02620689207653672,0.029417403839136356,,2
position,human,human_start,f3,target_rank,,55,,19,2.359649122807017,1.4385964912280702,3.7456140350877187,,2
position,human,human_start,f3,target_hit,,55,,19,0.7017543859649122,0.5438596491228069,0.8249999999999976,,3
position,human,human_start,f3,target_kl,,55,,19,0.10480640049696681,0.07023970475433437,0.15484182398807664,,3
position,human,human_start,f3,target_margin,,55,,19,-0.01667844914178597,-0.06995106889787203,0.017670340449507854,,3
position,human,human_start,f3,target_rank,,55,,19,2.7368421052631584,1.333333333333333,4.632017543859646,,3
position,human,human_start,f3,target_hit,,55,,19,0.6228070175438596,0.48245614035087714,0.7631578947368421,,4
position,human,human_start,f3,target_kl,,55,,19,0.09490824277896513,0.06262453673973001,0.13750407687833638,,4
position,human,human_start,f3,target_margin,,55,,19,-0.011922105359596579,-0.05325104892641568,0.017998679125612187,,4
position,human,human_start,f3,target_rank,,55,,19,2.6666666666666665,1.4736842105263157,4.254385964912281,,4
position,human,human_start,f3,target_hit,,55,,19,0.5614035087719298,0.4385964912280701,0.6842105263157894,,5
position,human,human_start,f3,target_kl,,55,,19,0.1192722450445264,0.07541684367600196,0.17298927193197142,,5
position,human,human_start,f3,target_margin,,55,,19,-0.01863417149386684,-0.06648218325632406,0.020842323983457776,,5
position,human,human_start,f3,target_rank,,55,,19,3.1929824561403506,1.9473684210526316,4.842105263157895,,5
position,pro,c1_pooled,f1,target_hit,,200,,20,0.09500000000000001,0.02,0.195,,1
position,pro,c1_pooled,f1,target_kl,,200,,20,0.0845966772863617,0.06778122163414156,0.10201062111058777,,1
position,pro,c1_pooled,f1,target_margin,,200,,20,-0.05930893840844448,-0.07582806550160305,-0.04302240326132843,,1
position,pro,c1_pooled,f1,target_rank,,200,,20,8.58,6.800000000000002,10.504999999999999,,1
position,pro,c1_pooled,f1,target_hit,,200,,20,0.09,0.025,0.16999999999999998,,2
position,pro,c1_pooled,f1,target_kl,,200,,20,0.13544869355269082,0.11282092197982149,0.1586634039204139,,2
position,pro,c1_pooled,f1,target_margin,,200,,20,-0.08819687440834903,-0.11337470662681251,-0.06502323976156534,,2
position,pro,c1_pooled,f1,target_rank,,200,,20,9.9,7.764874999999999,12.120125,,2
position,pro,c1_pooled,f1,target_hit,,200,,20,0.06999999999999999,0.015000000000000003,0.13999999999999999,,3
position,pro,c1_pooled,f1,target_kl,,200,,20,0.15398662362382567,0.12983508373890765,0.1791869923028698,,3
position,pro,c1_pooled,f1,target_margin,,200,,20,-0.10048537580811093,-0.12844112942892805,-0.07396366104118578,,3
