condition,label,author,fold,observation_index,score,calibrated_threshold,normalised_score,flagged
flash,human,agnes_may_fleming,1,13,280.27467265818393,483.8554732139631,0.5792528723432363,0
flash,human,agnes_may_fleming,1,14,217.36746793276401,483.8554732139631,0.4492404859842169,0
flash,human,agnes_may_fleming,1,15,181.90334477483535,483.8554732139631,0.37594561774109947,0
flash,human,agnes_may_fleming,1,16,182.2899876180675,483.8554732139631,0.3767447052055109,0
flash,human,agnes_may_fleming,1,17,118.76265703114689,483.8554732139631,0.24545068435885917,0
flash,human,agnes_may_fleming,1,18,206.68415013286827,483.8554732139631,0.42716092216543267,0
flash,human,agnes_may_fleming,1,19,169.66992849556777,483.8554732139631,0.35066241447792607,0
flash,human,agnes_may_fleming,1,20,301.75674081288383,483.8554732139631,0.6236505682337206,0
flash,human,agnes_may_fleming,1,21,381.38087017917275,483.8554732139631,0.7882123718594879,0
flash,human,agnes_may_fleming,1,22,192.8175181290125,483.8554732139631,0.3985022983169764,0
flash,human,agnes_may_fleming,1,23,351.533849359773,483.8554732139631,0.7265265535279439,0
flash,human,agnes_may_fleming,1,24,247.56507368785756,483.8554732139631,0.5116508697182457,0
flash,human,agnes_may_fleming,1,25,136.0113992210741,483.8554732139631,0.2810992264231953,0
flash,human,agnes_may_fleming,1,26,99.48258046897863,483.8554732139631,0.20560391682287943,0
flash,human,agnes_may_fleming,1,27,140.44700712052298,483.8554732139631,0.2902664429682222,0
flash,human,agnes_may_fleming,1,28,155.60701767584672,483.8554732139631,0.3215981347534258,0
flash,human,agnes_may_fleming,1,29,156.65147531569008,483.8554732139631,0.323756749665655,0
flash,human,agnes_may_fleming,1,30,193.87657429007749,483.8554732139631,0.4006910844725412,0
flash,human,agnes_may_fleming,1,31,166.7322862996539,483.8554732139631,0.3445910928570279,0
flash,human,agnes_may_fleming,1,32,177.93791381953622,483.8554732139631,0.36775013133074813,0
flash,human,agnes_may_fleming,1,33,180.61243865344238,483.8554732139631,0.3732776596568016,0
flash,human,charles_dickens,3,1,222.71974708717113,448.9392291876774,0.4961022174207546,0
flash,human,charles_dickens,3,2,269.12888261901287,448.9392291876774,0.599477312566295,0
flash,human,charles_dickens,3,3,196.98706899596897,448.9392291876774,0.43878337242303955,0
flash,human,charles_dickens,3,4,239.38962788864666,448.9392291876774,0.533233926386439,0
flash,human,charles_dickens,3,5,153.3064027263874,448.9392291876774,0.34148586881967097,0
flash,human,charles_dickens,3,6,332.56974362435113,448.9392291876774,0.7407901159052455,0
flash,human,charles_dickens,3,7,168.25319287225958,448.9392291876774,0.3747794399181853,0
flash,human,charles_dickens,3,8,106.64254710945413,448.9392291876774,0.237543391568645,0
flash,human,charles_dickens,3,9,100.75185234918584,448.9392291876774,0.2244220281918533,0
flash,human,charles_dickens,3,10,129.4175939222395,448.9392291876774,0.28827419282652383,0
flash,human,charles_dickens,3,11,81.80125902070486,448.9392291876774,0.18221009371071945,0
flash,human,charles_dickens,3,12,222.79476160368844,448.9392291876774,0.49626931022895726,0
