contrast,left,right,rival_mode,window_policy,feature,test_chunk_size,n_authors,accuracy_difference,accuracy_ci_low,accuracy_ci_high,accuracy_wilcoxon_p,kl_true_difference,kl_true_ci_low,kl_true_ci_high,kl_true_wilcoxon_p,margin_difference,margin_ci_low,margin_ci_high,margin_wilcoxon_p,gap_low,gap_high
gap growth,gap N=4000,gap N=500,symmetric,middle,f3,2000,17,-0.035881612882976616,-0.12595025061189216,0.05230167442442198,0.4873809814453125,,,,,,,,,0.09778126531726264,0.06189965243428605
gap growth,gap N=4000,gap N=1000,symmetric,middle,f3,2000,17,-0.041829214432875086,-0.1416035640872382,0.05335487390199487,0.43796657516602056,,,,,,,,,0.10372886686716114,0.06189965243428605
gap growth,gap N=2000,gap N=500,symmetric,middle,f3,1000,19,-0.01789040176657231,-0.09758953858409171,0.04614711840988618,0.8905677795410156,,,,,,,,,0.08179200562848563,0.0639016038619133
gap growth,gap N=4000,gap N=500,symmetric,middle,f3,1000,18,0.02206255154841176,-0.10762251230919255,0.1717477613782718,1.0,,,,,,,,,0.08016316643500643,0.10222571798341819
gap growth,gap N=4000,gap N=1000,symmetric,middle,f3,1000,18,0.04102571039743727,-0.07379530613651757,0.17328866452154107,0.7938356323393149,,,,,,,,,0.06120000758598091,0.10222571798341819
gap growth,gap N=2000,gap N=500,symmetric,middle,f1,2000,18,0.024396315978315538,-0.09739096125507364,0.13179083279555426,0.49507904052734375,,,,,,,,,0.10071949990301061,0.12511581588132614
gap growth,gap N=4000,gap N=500,symmetric,middle,f1,2000,17,-0.053917340410276834,-0.15065547512223673,0.04586786247569122,0.328948974609375,,,,,,,,,0.10010822865547529,0.04619088824519845
gap growth,gap N=4000,gap N=1000,symmetric,middle,f1,2000,17,-0.029667540606491984,-0.16011033197656346,0.09849338283719328,0.677703857421875,,,,,,,,,0.07585842885169045,0.04619088824519845
gap growth,gap N=2000,gap N=500,symmetric,middle,f1,1000,19,-0.009705896617001457,-0.08749945655675884,0.06338069610610415,0.9652587087271087,,,,,,,,,0.0882946188689289,0.07858872225192745
gap growth,gap N=4000,gap N=500,symmetric,middle,f1,1000,18,-0.04387154364910911,-0.13270911197394955,0.03862424590034999,0.43475617175843206,,,,,,,,,0.08394061621349902,0.040069072564389914
gap growth,gap N=4000,gap N=1000,symmetric,middle,f1,1000,18,-0.011261426004764359,-0.0964991783379316,0.07506607308837442,0.7660293579101562,,,,,,,,,0.05133049856915428,0.040069072564389914
gap growth,gap N=2000,gap N=500,asymmetric,random,f3,2000,18,0.006738846964594976,-0.014940170312024784,0.031845317924324476,0.7660293579101562,,,,,,,,,0.07705875224980155,0.08379759921439653
gap growth,gap N=4000,gap N=500,asymmetric,random,f3,2000,17,-0.023571024894357778,-0.0773934235763214,0.024398193931730032,0.7466583251953125,,,,,,,,,0.07848704486580294,0.054916019971445164
gap growth,gap N=4000,gap N=1000,asymmetric,random,f3,2000,17,-0.04214341072518542,-0.08697151541170872,-0.00220648120018169,0.17425537109375,,,,,,,,,0.09705943069663059,0.054916019971445164
gap growth,gap N=2000,gap N=500,asymmetric,random,f3,1000,19,0.017075842865104985,-0.006955935742906311,0.04626943444601751,0.6008341615189702,,,,,,,,,0.06912918424365734,0.08620502710876235
gap growth,gap N=4000,gap N=500,asymmetric,random,f3,1000,18,-0.015671912015610263,-0.055581662735280306,0.023011736740049304,0.5798416137695312,,,,,,,,,0.0718122870720087,0.056140375056398434
